SMILES,1A2,2C9,2C19,2D6,3A4
Nc1cccc2cc(S(=O)(=O)O)ccc12,,,,,0.0
CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,,,,0.0,
CSCCC(N)C(=O)O,0.0,0.0,0.0,0.0,0.0
OC1=Nc2cc(Cl)c(CCN3CCN(c4nsc5ccccc45)CC3)cc2C1,1.0,,,,1.0
CCN=c1nc(SC[C@H](N=C(O)CC[C@H](N)C(=O)O)C(O)=NCC(=O)O)[nH]c(=NC(C)C)[nH]1,,,,,0.0
O=C(O)[C@H](O)C=C(O)O,,0.0,,,
CC1=C(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CCC5CC(OC6OC(COC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(O)C[C@]5(C)C4CC[C@]3(C)C12,0.0,0.0,0.0,0.0,0.0
CN(C)CCc1c[nH]c2ccc(CC3COC(=O)N3)cc12,1.0,,,,
O=C1NC(=O)[C@](c2ccccc2)(c2ccc(O)cc2)N1,,,,,1.0
CN(C)[C@@H]1C(O)=C(C(=N)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(N=C(O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,,,,,1.0
CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2,,1.0,,1.0,1.0
CCCCCCCCCCCCCCCCCCCCCC(=O)OC1CC[C@]2(C)C(=CCC3C2CC[C@@]2(C)C(C(C)CCC(CC)C(C)C)CCC32)C1,0.0,0.0,0.0,0.0,0.0
CCCc1ccccn1,0.0,0.0,0.0,0.0,0.0
CNC(=O)Oc1cccc2c1OC(C)(C)C2,1.0,1.0,1.0,1.0,1.0
CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,,0.0,,1.0,0.0
CC(O)=N[C@]1(C(=N)O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.0,,,0.0,
CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,,,,,0.0
NC(=O)CC(=O)O,,0.0,,,
N[C@@H](Cc1c[nH]c2ncccc12)C(=O)O,,0.0,,,
CC(=O)c1sc(Nc2ccccc2)nc1C,,0.0,,,
C[C@@]12C(=O)C=CC=C1C(O)CC1C2CC[C@@]2(O)C(=O)O[C@@]3(C)C4C[C@]5(C)C(CO[C@@]16O[C@]23C5C6=O)C(=O)O4,0.0,0.0,0.0,0.0,0.0
OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,,,,1.0,
CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,,0.0,,,
O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12,,0.0,,0.0,
O=NN(CCCl)C(O)=NC1CCCCC1,,,,1.0,
N[C@@H](CC(=O)O)C1=N/C(=C\c2ccc(O)cc2)C(=O)N1CC(=O)O,,,,,0.0
Cn1cc(-c2ccc3nnc(Sc4ccc5ncccc5c4)n3n2)cn1,,,,,0.0
CCN1CCC[C@@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,,0.0,,0.0,0.0
CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,,0.0,,0.0,1.0
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)CC[C@@]3(O)[C@H]1C5,,,,,0.0
CN1CCC[C@H]1c1cccnc1,1.0,1.0,1.0,1.0,1.0
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,,0.0,,,
Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,,,,0.0,
CCCCSc1ccc(C(SCCN(C)C)c2ccccc2)cc1,,,,0.0,0.0
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,,,,0.0
CCCCCCCOC(=O)NC1=NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)CN1,,0.0,,,
