SMILES,2C19
C/C(=C/C=C/C(C)=C/C=C\C=C(C)\C=C/C=C(/C)C1C=C2C(C)(C)CCC[C@@]2(C)O1)C1C=C2C(C)(C)CCC[C@]2(C)O1,0.0
CC(O)c1ccc2c(c1)C=CC(C)(C)O2,0.0
CCCCCCCC/C=C\CCCCCCCC(=O)NC(CO[P@](=O)([O-])OCC[N+](C)(C)C)C(O)/C=C/CCCCCCCCCCCCC,0.0
C[S@@](=O)C[C@H](C(=O)O)N1C(=O)[C@@H](N=C(O)CCC[C@H](N)C(=O)O)[C@H]1S,0.0
N=C(N)NCCCCNC(=O)/C=C\c1cc(O)c2c(c1)C(C(=O)NCCCCNC(=N)N)C(c1ccc(O)cc1)O2,0.0
NC(=O)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O,0.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1.0
C1CC1,0.0
Oc1ccccc1,0.0
CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,0.0
O=C1/C(=C/c2ccc(O)c(O)c2)Oc2c1ccc(O)c2O,0.0
CC(CCC(=O)O)C1CCC2C3CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CC[C@@]4(C)C3CC(O)[C@@]12C,0.0
CC(C)C1=CC2=CC3OC(=O)[C@]4(CCCC(C)(C)C34)C2=C(O)C1=O,0.0
CN(C)CCOC(c1ccccc1)c1ccc(Br)cc1,0.0
O=C(Nc1ccccc1S(=O)(=O)Nc1ccc(Cl)cn1)c1ccc(-n2ccccc2=O)cc1,0.0
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1,0.0
CC[C@@H](NC=O)c1ccccc1,0.0
CC(C)=CCC/C(C)=C/Cc1c(CCC(=O)c2ccc(O)cc2O)ccc(O)c1O,0.0
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1S,0.0
CN(CCCC(O)c1cccnc1)N=O,1.0
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,1.0
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,1.0
C[C@]12CC[C@@H]3c4ccc(OC(=O)c5ccccc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.0
